start_time,end_time,train_percentage,time_steps,l1,d1,l2,d2,epochs,batch_size,rmse_lstm
2025-2-2 20:18,2025-2-2 20:18,0.9,1,80,0.4,40,0.3,2000,128,9371.43
2025-2-2 20:37,2025-2-2 20:37,0.9,1,80,0.4,64,0.3,1000,32,5555
2025-2-2 20:42,2025-2-2 20:42,0.9,1,80,0.4,64,0.3,1000,32,5555
